"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"*spirit_withdraw","TRUE","衍生牌","精灵","换下","Withdraw","換下","交代","换下当前精灵，将其精灵卡加入手牌；该卡费用增加1。","換下當前精靈，將其精靈卡加入手牌；該卡費用增加1。","Withdraw the active Spirit and add its Spirit card to your hand. That card costs 1 more.","現在の精霊を交代させ、その精霊カードを手札に加える。そのカードのコストは1増加する。"
"*stellar_overture_start","TRUE","衍生牌","星谱","星辰序曲·启","Stellar Overture: Opening","星辰序曲・啟","星辰序曲・始","抽2张牌。推进{Terrias_terrias_star_score}：启。","抽2張牌。推進{Terrias_terrias_star_score}：啟。","Draw 2 cards. Advance {Terrias_terrias_star_score}: Opening.","カードを2枚引く。{Terrias_terrias_star_score}を進める：始。"
"*stellar_overture_sustain","TRUE","衍生牌","星谱","星辰序曲·承","Stellar Overture: Sustain","星辰序曲・承","星辰序曲・承","获得{0}点护盾，并使自身所有正面Buff+1层。推进{Terrias_terrias_star_score}：承。","獲得{0}點護盾，並使自身所有正面Buff+1層。推進{Terrias_terrias_star_score}：承。","Gain {0} Block and increase all positive buffs on yourself by 1. Advance {Terrias_terrias_star_score}: Sustain.","{0}シールドを得て、自身のすべての正面Buffを+1する。{Terrias_terrias_star_score}を進める：承。"
"*stellar_overture_turn","TRUE","衍生牌","星谱","星辰序曲·转","Stellar Overture: Turn","星辰序曲・轉","星辰序曲・転","给予目标2层{buff_vulnerability}。推进{Terrias_terrias_star_score}：转。","給予目標2層{buff_vulnerability}。推進{Terrias_terrias_star_score}：轉。","Apply 2 {buff_vulnerability} to the target. Advance {Terrias_terrias_star_score}: Turn.","対象に{buff_vulnerability}を2付与する。{Terrias_terrias_star_score}を進める：転。"
"*stellar_overture_close","TRUE","衍生牌","星谱","星辰序曲·合","Stellar Overture: Close","星辰序曲・合","星辰序曲・結","造成{0}点伤害，数值为10+自身Buff种类数+目标Buff种类数。推进{Terrias_terrias_star_score}：合。","造成{0}點傷害，數值為10+自身Buff種類數+目標Buff種類數。推進{Terrias_terrias_star_score}：合。","Deal {0} damage: 10 + your buff kind count + the target's buff kind count. Advance {Terrias_terrias_star_score}: Close.","{0}ダメージを与える。値は10+自身のBuff種類数+対象のBuff種類数。{Terrias_terrias_star_score}を進める：結。"
"*witch_star_score","TRUE","衍生牌","星谱","魔女的星谱","Witch's Star Score","魔女的星譜","魔女の星譜","根据本场战斗自己已完成的{Terrias_terrias_star_score}，将对应谱句效果再打出一次。","根據本場戰鬥自己已完成的{Terrias_terrias_star_score}，將對應譜句效果再打出一次。","Replay the cadence effects for each {Terrias_terrias_star_score} cadence you completed this combat.","この戦闘中に完成した{Terrias_terrias_star_score}に応じて、対応する譜句効果をもう一度発動する。"
"*lucky_jackpot_b","TRUE","技能牌","使魔猫猫","幸运大奖B","Lucky Jackpot B","幸運大獎B","ラッキージャックポットB","打出时进行检定：结果达到95时，获得1个4阶遗物；否则抽1张牌。焚毁。","打出時進行檢定：結果達到95時，獲得1個4階遺物；否則抽1張牌。焚毀。","Make a check when played. On 95 or higher, gain a tier-4 relic; otherwise draw 1 card. Burnout.","使用時に判定する。95以上ならティア4のレリックを1個得る。それ以外はカードを1枚引く。廃棄。"
"fate_star","TRUE","技能牌","更多的次元","命星","Fate Star","命星","命星","若{Terrias_terrias_constellation}未达上限，点亮1层；否则四大本源上限增加10点。","若{Terrias_terrias_constellation}未達上限，點亮1層；否則四大本源上限增加10點。","If {Terrias_terrias_constellation} is not complete, light up 1 level; otherwise increase all four Origin caps by 10.","{Terrias_terrias_constellation}が上限未満なら1段階点灯する。上限なら4つの本源上限を10増加する。"
"gilded_butterfly","TRUE","技能牌","虚假的黄金梦","鎏金蝴蝶","Gilded Butterfly","鎏金蝴蝶","鍍金の蝶","为当前手牌中的所有卡牌附着{Terrias_terrias_gold_dream_keyword}。","為目前手牌中的所有卡牌附著{Terrias_terrias_gold_dream_keyword}。","Attach {Terrias_terrias_gold_dream_keyword} to every card currently in your hand.","現在の手札すべてに{Terrias_terrias_gold_dream_keyword}を付与する。"
"wager","TRUE","技能牌","虚假的黄金梦","押注","Wager","押注","賭け","消耗{0}真实金币，获得等量{Terrias_terrias_false_gold}。","消耗{0}真實金幣，獲得等量{Terrias_terrias_false_gold}。","Spend {0} real Gold and gain the same amount of {Terrias_terrias_false_gold}.","{0}リアルゴールドを消費し、同量の{Terrias_terrias_false_gold}を得る。"
"fortune_throw","TRUE","攻击牌","虚假的黄金梦","豪掷千金","Fortune Throw","豪擲千金","豪華な投擲","支付1000金币并进行6次检定。每次对目标造成“检定值÷10×（1+{0}）”点真实伤害，除法结果向下取整。","支付1000金幣並進行6次檢定。每次對目標造成「檢定值÷10×（1+{0}）」點真實傷害，除法結果向下取整。","Pay 1,000 Gold and make 6 checks. Each check deals check value / 10 × (1 + {0}) true damage to the target, with the division rounded down.","1000ゴールドを支払い、6回判定する。各判定で対象に「判定値÷10×（1+{0}）」の確定ダメージを与え、除算結果は切り捨てる。"
"display_wealth","TRUE","技能牌","虚假的黄金梦","展示财力","Display Wealth","展示財力","財力の誇示","丢弃其余所有手牌；每丢弃1张，获得1张【押注】。","捨棄其餘所有手牌；每捨棄1張，獲得1張【押注】。","Discard every other card in your hand; for each card discarded, gain 1 Wager.","残りの手札をすべて捨てる。1枚捨てるごとに【賭け】を1枚得る。"
"blank_check","TRUE","技能牌","虚假的黄金梦","空头支票","Blank Check","空頭支票","空手形","获得1000{Terrias_terrias_false_gold}和2000层{Terrias_terrias_debt_due_3}。","獲得1000{Terrias_terrias_false_gold}和2000層{Terrias_terrias_debt_due_3}。","Gain 1,000 {Terrias_terrias_false_gold} and 2,000 {Terrias_terrias_debt_due_3}.","1000{Terrias_terrias_false_gold}と2000{Terrias_terrias_debt_due_3}を得る。"
"golden_dreamland","TRUE","技能牌","虚假的黄金梦","黄金梦乡","Golden Dreamland","黃金夢鄉","黄金の夢郷","将全部{Terrias_terrias_false_gold}按50%兑换为真实金币（向下取整），并使全部债务于下一回合到期。","將全部{Terrias_terrias_false_gold}按50%兌換為真實金幣（向下取整），並使全部債務於下一回合到期。","Convert all {Terrias_terrias_false_gold} into real Gold at 50%, rounded down, and make all Debt due next round.","すべての{Terrias_terrias_false_gold}を50%でリアルゴールドに換金し（端数切り捨て）、すべての債務を次のターンに満期にする。"
